name,train_p,train_s,train_l,test_p,test_s,test_l
train_ours_2000,0,0,0,21.465572357177734,0.7851952910423279,0.2408439666032791
train_ours_500,0,0,0,20.615388870239258,0.7890347838401794,0.2349475622177124
train_ours_100,0,0,0,21.091026306152344,0.7755908966064453,0.24898898601531982
train_ours_100,0,0,0,21.09579086303711,0.7755895853042603,0.24884070456027985
train_ours_100,0,0,0,21.08712387084961,0.7757272720336914,0.24872101843357086
train_ours_100,0,0,0,21.0789737701416,0.7754988074302673,0.2488785833120346
train_ours_5000,0,0,0,21.487728118896484,0.7969532012939453,0.2305436134338379
train_ours_100,0,0,0,21.097543716430664,0.7785416841506958,0.24598924815654755
train_ours_100,0,0,0,7.464780330657959,0.1340080052614212,0.6536558270454407
train_ours_200,0,0,0,21.08317756652832,0.7787830233573914,0.2460981160402298
